date,code,peak_ccu,plays,unique_players,minutes_played,avg_minutes,favorites,recommendations,d1,d7
2026-09-24,7907-0617-9508,2,19,18,269,14.94,1,,0,0
2026-09-19,8257-6489-6679,67,684,621,10238,16.49,21,1,0.06,0
2026-09-20,8257-6489-6679,19,337,309,5544,17.94,15,2,0.03,0
2026-09-21,8257-6489-6679,38,282,257,3779,14.7,11,,0.03,0.01
2026-09-22,8257-6489-6679,70,395,370,5039,13.62,13,1,0.05,0
2026-09-23,8257-6489-6679,28,214,193,3768,19.52,10,2,0.04,0
2026-09-24,8257-6489-6679,17,235,211,3110,14.74,9,2,0.04,0
2026-09-19,5232-0340-8670,15,351,267,6564,24.58,14,4,0.15,0.02
2026-09-20,5232-0340-8670,52,447,384,10707,27.88,27,14,0.21,0.04
2026-09-21,5232-0340-8670,7,151,135,2262,16.76,13,4,0.15,0.06
2026-09-22,5232-0340-8670,9,159,138,2515,18.22,8,2,0.08,0.04
2026-09-23,5232-0340-8670,12,174,138,3257,23.6,7,1,0.08,0.02
2026-09-24,5232-0340-8670,24,224,175,4562,26.07,3,1,0.09,0.07
2026-09-19,5251-5472-1664,27,281,238,7462,31.35,12,2,0.1,0
2026-09-20,5251-5472-1664,18,230,203,5907,29.1,12,3,0.08,0.01
2026-09-21,5251-5472-1664,124,433,385,10892,28.29,23,4,0.06,0.01
2026-09-22,5251-5472-1664,13,132,109,3551,32.58,3,1,0.09,0
2026-09-23,5251-5472-1664,215,766,693,19754,28.51,41,13,0.12,0
2026-09-24,5251-5472-1664,28,473,424,11706,27.61,23,6,0.22,0.01
2026-09-19,1941-4545-9064,19,332,286,7249,25.35,20,8,0.11,0.03
2026-09-20,1941-4545-9064,22,419,330,9197,27.87,29,11,0.19,0.03
2026-09-21,1941-4545-9064,13,280,220,5058,22.99,12,2,0.15,0.02
2026-09-22,1941-4545-9064,8,169,132,3262,24.71,6,1,0.12,0.01
2026-09-23,1941-4545-9064,10,166,135,2701,20.01,10,4,0.17,0.03
2026-09-24,1941-4545-9064,8,140,119,2866,24.08,7,3,0.14,0.04
2026-09-19,3443-6477-0526,14,267,178,5928,33.3,6,,0.3,0.1
2026-09-20,3443-6477-0526,15,227,156,5658,36.27,5,,0.26,0.1
2026-09-21,3443-6477-0526,12,172,120,4873,40.61,,,0.19,0.1
2026-09-22,3443-6477-0526,10,141,94,3504,37.28,2,1,0.21,0.1
2026-09-23,3443-6477-0526,7,114,92,2263,24.6,4,1,0.2,0.07
2026-09-24,3443-6477-0526,7,95,79,2405,30.44,1,1,0.22,0.06
2026-09-19,1744-5438-2747,4,40,33,719,21.79,2,,0,0
2026-09-20,1744-5438-2747,5,47,43,858,19.95,1,,0.2,0.03
2026-09-21,1744-5438-2747,3,23,22,350,15.91,1,,0.2,0
2026-09-22,1744-5438-2747,4,21,21,488,23.24,1,,0.02,0
2026-09-23,1744-5438-2747,3,31,26,567,21.81,,1,0.09,0.05
2026-09-24,1744-5438-2747,3,21,18,384,21.33,2,,0.2,0
2026-09-19,7048-8422-2298,9023,386225,193750,8578932,44.28,1430,324,0.37,0.18
2026-09-20,7048-8422-2298,9412,409836,200496,9133943,45.56,1422,294,0.38,0.2
2026-09-21,7048-8422-2298,6336,284782,140581,6294550,44.78,1011,195,0.35,0.2
2026-09-22,7048-8422-2298,5712,264689,131872,5715094,43.34,938,195,0.26,0.2
2026-09-23,7048-8422-2298,5216,266717,128580,5477616,42.6,948,185,0.33,0.2
2026-09-24,7048-8422-2298,5254,236576,118390,4927503,41.62,812,144,0.35,0.2
2026-09-19,3916-5715-6958,655,31281,19493,512699,26.3,1663,135,0.43,0.23
2026-09-20,3916-5715-6958,806,31439,18751,489741,26.12,1582,123,0.41,0.22
2026-09-21,3916-5715-6958,504,23061,14741,371927,25.23,1114,79,0.38,0.24
2026-09-22,3916-5715-6958,515,23829,15714,388364,24.71,1202,92,0.32,0.21
2026-09-23,3916-5715-6958,488,24814,16054,406924,25.35,1284,105,0.38,0.23
2026-09-24,3916-5715-6958,620,23892,15569,386259,24.81,1073,80,0.38,0.22
2026-09-19,1734-8951-4401,1178,57608,29285,1274560,43.52,307,66,0.37,0.2
2026-09-20,1734-8951-4401,1261,59761,30495,1357199,44.51,283,58,0.38,0.22
2026-09-21,1734-8951-4401,1167,45608,24409,1028055,42.12,252,46,0.35,0.22
2026-09-22,1734-8951-4401,1071,41853,22769,936830,41.14,227,38,0.28,0.23
2026-09-23,1734-8951-4401,1027,41215,21591,907692,42.04,229,29,0.34,0.22
2026-09-24,1734-8951-4401,771,33064,17588,711607,40.46,177,28,0.35,0.23
2026-09-19,2276-7799-6979,1001,72266,19279,1050589,54.49,1094,75,0.43,0.28
2026-09-20,2276-7799-6979,1158,68200,17556,1106316,63.02,798,62,0.38,0.22
2026-09-21,2276-7799-6979,892,57984,14251,883484,61.99,712,45,0.34,0.23
2026-09-22,2276-7799-6979,867,56347,13231,854358,64.57,665,54,0.32,0.29
2026-09-23,2276-7799-6979,937,56233,13876,845708,60.95,653,38,0.39,0.29
2026-09-24,2276-7799-6979,825,50458,11916,743337,62.38,557,31,0.42,0.28
