date,code,peak_ccu,plays,unique_players,minutes_played,avg_minutes,favorites,recommendations,d1,d7
2026-09-23,5177-3498-9905,61,1803,1449,46815,32.31,51,9,0.22,0.07
2026-09-24,5177-3498-9905,84,1585,1299,44921,34.58,25,10,0.23,0.07
2026-09-19,5386-1902-3209,286,4953,3636,113655,31.26,257,70,0.26,
2026-09-20,5386-1902-3209,83,2173,1327,57824,43.57,103,31,0.23,0.04
2026-09-21,5386-1902-3209,53,1361,968,34353,35.49,74,25,0.15,0.03
2026-09-22,5386-1902-3209,47,1347,890,30878,34.69,69,14,0.2,0.04
2026-09-23,5386-1902-3209,39,1032,731,24274,33.21,55,13,0.23,0.02
2026-09-24,5386-1902-3209,28,696,476,18232,38.3,37,9,0.2,0.05
2026-09-19,1796-9956-7050,916,34278,17724,824552,46.52,639,82,0.32,0.03
2026-09-20,1796-9956-7050,568,24363,12786,658182,51.48,398,64,0.27,0.03
2026-09-21,1796-9956-7050,600,21554,11763,586310,49.84,409,51,0.24,0.04
2026-09-22,1796-9956-7050,477,16327,8436,509473,60.39,274,38,0.24,0.03
2026-09-23,1796-9956-7050,463,13894,7093,476464,67.17,233,31,0.23,0.04
2026-09-24,1796-9956-7050,361,10221,5128,388914,75.84,158,26,0.28,0.04
2026-09-19,1862-8843-9022,83,2251,1447,64106,44.3,28,8,0.41,0.2
2026-09-20,1862-8843-9022,106,2387,1605,69304,43.18,19,11,0.39,0.19
2026-09-21,1862-8843-9022,64,1305,905,33730,37.27,14,2,0.36,0.2
2026-09-22,1862-8843-9022,52,1338,913,33869,37.1,13,4,0.23,0.19
2026-09-23,1862-8843-9022,46,1231,870,33216,38.18,9,3,0.36,0.2
2026-09-24,1862-8843-9022,51,1176,784,28500,36.35,12,10,0.37,0.18
2026-09-19,7067-8314-8282,98,3706,2980,74006,24.83,199,51,0.11,0.01
2026-09-20,7067-8314-8282,103,3880,2958,81067,27.41,207,52,0.14,0.02
2026-09-21,7067-8314-8282,71,2231,1812,47795,26.38,128,24,0.13,0.02
2026-09-22,7067-8314-8282,93,2551,2046,52450,25.64,164,29,0.09,0.01
2026-09-23,7067-8314-8282,88,3086,2525,65405,25.9,217,29,0.1,0.01
2026-09-24,7067-8314-8282,78,2546,2085,52977,25.41,133,16,0.13,0.01
2026-09-19,2887-3641-3853,166,5223,4364,117474,26.92,188,20,0.18,0.06
2026-09-20,2887-3641-3853,147,5275,4196,118996,28.36,169,22,0.18,0.04
2026-09-21,2887-3641-3853,121,2950,2532,65144,25.73,118,5,0.15,0.03
2026-09-22,2887-3641-3853,107,2933,2583,63209,24.47,114,12,0.1,0.03
2026-09-23,2887-3641-3853,92,2646,2225,57577,25.88,105,19,0.14,0.03
2026-09-24,2887-3641-3853,83,1912,1629,41148,25.26,74,8,0.13,0.03
2026-09-19,1374-2241-1868,368,12131,9091,305373,33.59,364,83,0.2,0.03
2026-09-20,1374-2241-1868,292,9061,6877,243230,35.37,281,76,0.19,0.03
2026-09-21,1374-2241-1868,162,4669,3639,119576,32.86,147,33,0.15,0.03
2026-09-22,1374-2241-1868,133,3906,3151,92989,29.51,171,40,0.12,0.02
2026-09-23,1374-2241-1868,104,2959,2381,70820,29.74,118,24,0.17,0.02
2026-09-24,1374-2241-1868,70,2219,1833,51356,28.02,63,18,0.16,0.02
2026-09-19,0242-1196-2261,74,2351,1666,55051,33.04,62,11,0.23,0.06
2026-09-20,0242-1196-2261,80,2324,1639,57099,34.84,74,16,0.24,0.07
2026-09-21,0242-1196-2261,40,1227,950,31374,33.03,37,10,0.19,0.07
2026-09-22,0242-1196-2261,46,1247,946,30182,31.9,34,6,0.13,0.05
2026-09-23,0242-1196-2261,46,1176,858,27872,32.48,33,1,0.2,0.06
2026-09-24,0242-1196-2261,32,1041,788,24405,30.97,28,3,0.19,0.06
2026-09-19,7996-5597-0868,307,9915,6720,289878,43.14,139,35,0.34,0.12
2026-09-20,7996-5597-0868,317,10412,7100,304704,42.92,125,29,0.34,0.13
2026-09-21,7996-5597-0868,219,5956,4247,182452,42.96,64,14,0.28,0.11
2026-09-22,7996-5597-0868,191,5559,3987,169124,42.42,72,10,0.2,0.12
2026-09-23,7996-5597-0868,172,5262,3801,153145,40.29,73,16,0.28,0.14
2026-09-24,7996-5597-0868,138,4543,3188,132058,41.42,50,14,0.31,0.14
2026-09-19,8110-1361-4327,334,2569,1428,99143,69.43,89,30,0.36,0.1
2026-09-20,8110-1361-4327,322,3069,1688,123483,73.15,112,28,0.35,0.15
2026-09-21,8110-1361-4327,99,2631,1912,91008,47.6,125,21,0.32,0.18
2026-09-22,8110-1361-4327,80,1948,1195,67954,56.87,79,14,0.22,0.18
2026-09-23,8110-1361-4327,70,1410,889,50282,56.56,58,13,0.2,0.2
2026-09-24,8110-1361-4327,59,1221,758,46973,61.97,53,5,0.27,0.17
2026-09-19,4420-8150-0081,52,1758,1353,39000,28.82,49,7,0.21,0.11
2026-09-20,4420-8150-0081,59,1857,1477,42474,28.76,43,2,0.22,0.08
2026-09-21,4420-8150-0081,44,1095,874,24110,27.59,36,11,0.16,0.08
2026-09-22,4420-8150-0081,38,994,822,21705,26.41,32,6,0.12,0.1
2026-09-23,4420-8150-0081,32,902,744,21184,28.47,18,5,0.19,0.1
2026-09-24,4420-8150-0081,33,753,626,16622,26.55,16,4,0.17,0.08
2026-09-19,9563-8257-0848,25,601,515,13876,26.94,17,1,0.12,0.04
2026-09-20,9563-8257-0848,33,671,548,15172,27.69,28,5,0.18,0.04
2026-09-21,9563-8257-0848,42,391,339,7427,21.91,11,,0.15,0.06
2026-09-22,9563-8257-0848,320,1817,1574,35655,22.65,62,3,0.1,0.05
2026-09-23,9563-8257-0848,32,831,697,20527,29.45,27,8,0.19,0.09
2026-09-24,9563-8257-0848,129,1096,894,22842,25.55,40,3,0.13,0.06
2026-09-19,3962-2471-5978,58,1079,791,37695,47.65,150,17,0.33,
2026-09-20,3962-2471-5978,203,5107,3945,140558,35.63,351,52,0.16,
2026-09-21,3962-2471-5978,210,4630,3653,128890,35.28,306,30,0.17,
2026-09-22,3962-2471-5978,73,1837,1348,68141,50.55,143,18,0.07,
2026-09-23,3962-2471-5978,65,1680,1285,59914,46.63,124,15,0.11,
2026-09-24,3962-2471-5978,53,1371,1130,47107,41.69,99,19,0.18,
2026-09-19,4422-3120-1826,213,7534,5959,166147,27.88,223,59,0.14,0.02
2026-09-20,4422-3120-1826,202,7315,5830,176341,30.25,216,70,0.15,0.03
2026-09-21,4422-3120-1826,164,4419,3627,104561,28.83,122,38,0.13,0.03
2026-09-22,4422-3120-1826,161,4447,3784,109814,29.02,137,25,0.09,0.02
2026-09-23,4422-3120-1826,136,4552,3848,104632,27.19,131,39,0.13,0.01
2026-09-24,4422-3120-1826,104,3247,2742,70655,25.77,98,32,0.14,0.02
2026-09-19,7541-2314-8381,87,3262,2629,62398,23.73,128,36,0.16,0.03
2026-09-20,7541-2314-8381,104,3522,2686,69934,26.04,120,29,0.16,0.04
2026-09-21,7541-2314-8381,55,1857,1494,37673,25.22,57,17,0.13,0.04
2026-09-22,7541-2314-8381,46,1573,1251,28365,22.67,54,11,0.1,0.03
2026-09-23,7541-2314-8381,42,1387,1141,27249,23.88,41,13,0.14,0.04
2026-09-24,7541-2314-8381,36,1296,1058,23779,22.48,55,19,0.13,0.03
2026-09-19,9584-6301-7470,208,2274,1990,57475,28.88,122,20,0.19,0.08
2026-09-20,9584-6301-7470,53,1480,1197,36613,30.59,86,13,0.2,0.06
2026-09-21,9584-6301-7470,28,519,410,12646,30.84,23,3,0.14,0.07
2026-09-22,9584-6301-7470,160,891,775,20354,26.26,44,12,0.11,0.06
2026-09-23,9584-6301-7470,26,477,416,10764,25.88,21,3,0.17,0.07
2026-09-24,9584-6301-7470,21,413,340,8051,23.68,18,2,0.13,0.04
2026-09-19,1654-7479-6688,58,2143,1627,46634,28.66,117,15,0.18,0.04
2026-09-20,1654-7479-6688,57,1827,1405,43115,30.69,60,15,0.25,0.05
2026-09-21,1654-7479-6688,32,1015,790,22921,29.01,53,7,0.18,0.06
2026-09-22,1654-7479-6688,32,904,729,18634,25.56,34,5,0.12,0.05
2026-09-23,1654-7479-6688,28,860,675,19431,28.79,46,7,0.16,0.04
2026-09-24,1654-7479-6688,25,665,540,13275,24.58,27,5,0.18,0.05
2026-09-19,6643-0220-6840,64,2789,2048,35107,17.14,104,16,0.1,0.03
2026-09-20,6643-0220-6840,63,2763,2000,33979,16.99,110,18,0.17,0.04
2026-09-21,6643-0220-6840,49,1437,1063,20064,18.87,54,12,0.13,0.04
2026-09-22,6643-0220-6840,50,1156,867,15127,17.45,37,8,0.08,0.02
2026-09-23,6643-0220-6840,39,1064,792,14406,18.19,45,5,0.1,0.03
2026-09-24,6643-0220-6840,35,1149,863,14739,17.08,56,8,0.11,0.02
2026-09-19,8437-4689-3831,307,13399,10941,295371,27,589,106,0.16,0.02
2026-09-20,8437-4689-3831,268,12416,9967,271675,27.26,505,96,0.14,0.02
2026-09-21,8437-4689-3831,259,8264,6838,194241,28.41,340,71,0.11,0.02
2026-09-22,8437-4689-3831,220,7943,6441,172589,26.8,369,61,0.08,0.02
2026-09-23,8437-4689-3831,198,7247,5771,160973,27.89,294,53,0.12,0.02
2026-09-24,8437-4689-3831,150,5065,4315,111341,25.8,225,30,0.12,0.01
2026-09-19,2668-5883-1928,142,4607,3157,121201,38.39,121,15,0.2,0.04
2026-09-20,2668-5883-1928,154,4800,3271,114126,34.89,163,15,0.19,0.05
2026-09-21,2668-5883-1928,157,4125,2855,104695,36.67,131,23,0.17,0.05
2026-09-22,2668-5883-1928,150,3517,2508,91661,36.55,119,13,0.12,0.04
2026-09-23,2668-5883-1928,148,3598,2329,89022,38.22,106,12,0.13,0.03
2026-09-24,2668-5883-1928,78,1848,1280,42472,33.18,66,6,0.14,0.03
2026-09-20,0740-9649-8381,3,12,6,281,46.83,6,,0.43,
2026-09-21,0740-9649-8381,3,16,7,778,111.14,6,3,0.25,
2026-09-22,0740-9649-8381,876,8062,5389,163929,30.42,1175,198,0.33,
2026-09-23,0740-9649-8381,391,16169,11021,318984,28.94,1569,199,0.71,
2026-09-24,0740-9649-8381,655,23683,16023,444715,27.75,1890,262,0.27,
2026-09-19,9236-4114-4864,18,571,431,9762,22.65,13,6,0.22,0.09
2026-09-20,9236-4114-4864,24,586,402,11259,28.01,9,6,0.19,0.07
2026-09-21,9236-4114-4864,26,460,303,9936,32.79,11,5,0.17,0.1
2026-09-22,9236-4114-4864,23,414,267,7826,29.31,6,2,0.16,0.11
2026-09-23,9236-4114-4864,14,367,267,7625,28.56,5,2,0.2,0.15
2026-09-24,9236-4114-4864,12,276,195,6417,32.91,7,3,0.22,0.12
2026-09-19,6988-7736-2818,19,310,238,8847,37.17,7,2,0.33,0.02
2026-09-20,6988-7736-2818,15,269,202,8075,39.98,9,1,0.24,0.06
2026-09-21,6988-7736-2818,11,155,114,4445,38.99,1,1,0.2,0.04
2026-09-22,6988-7736-2818,17,175,140,4379,31.28,4,,0.17,0.07
2026-09-23,6988-7736-2818,12,174,141,5313,37.68,5,1,0.2,0.03
2026-09-24,6988-7736-2818,17,141,111,3804,34.27,9,4,0.2,0.07
2026-09-19,4088-9602-7302,34,693,499,15019,30.1,53,2,0.1,0.03
2026-09-20,4088-9602-7302,33,794,607,17263,28.44,65,8,0.15,0.05
2026-09-21,4088-9602-7302,22,488,360,11275,31.32,33,2,0.14,0.05
2026-09-22,4088-9602-7302,17,414,283,8275,29.24,36,,0.06,0.03
2026-09-23,4088-9602-7302,21,395,289,9051,31.32,27,5,0.15,0.03
2026-09-24,4088-9602-7302,21,430,312,8968,28.74,31,3,0.12,0.03
2026-09-19,4044-4229-5848,312,13511,9692,238193,24.58,397,43,0.24,0.04
2026-09-20,4044-4229-5848,328,13308,9392,232821,24.79,370,30,0.23,0.05
2026-09-21,4044-4229-5848,217,9432,6814,160971,23.62,313,28,0.21,0.05
2026-09-22,4044-4229-5848,266,10815,7908,191991,24.28,396,35,0.18,0.03
2026-09-23,4044-4229-5848,292,11553,8156,202469,24.82,408,29,0.24,0.04
2026-09-24,4044-4229-5848,266,9792,7257,166384,22.93,334,23,0.24,0.04
2026-09-19,0929-9347-5439,25,846,582,15722,27.01,83,13,0.25,
2026-09-20,0929-9347-5439,22,702,502,13908,27.71,63,7,0.17,0
2026-09-21,0929-9347-5439,19,512,371,9845,26.54,54,1,0.12,0
2026-09-22,0929-9347-5439,27,670,489,13292,27.18,60,11,0.13,0.01
2026-09-23,0929-9347-5439,21,549,385,10743,27.9,52,10,0.16,0.01
2026-09-24,0929-9347-5439,15,362,258,7116,27.58,28,3,0.17,0.01
2026-09-19,3092-1733-8452,34,690,560,24845,44.37,42,4,0.2,0.02
2026-09-20,3092-1733-8452,40,748,574,27718,48.29,38,5,0.14,0.02
2026-09-21,3092-1733-8452,31,431,329,15964,48.52,25,3,0.14,0.06
2026-09-22,3092-1733-8452,23,392,303,13597,44.87,28,10,0.09,0.03
2026-09-23,3092-1733-8452,26,360,303,17038,56.23,23,4,0.16,0.04
2026-09-24,3092-1733-8452,19,283,233,12053,51.73,20,1,0.18,0.03
2026-09-19,3181-7792-9942,24,783,212,8833,41.67,12,1,0.5,0.38
2026-09-20,3181-7792-9942,19,701,213,8509,39.95,23,1,0.45,0.25
2026-09-21,3181-7792-9942,21,676,171,9152,53.52,11,,0.3,0.24
2026-09-22,3181-7792-9942,26,775,208,11521,55.39,11,3,0.32,0.45
2026-09-23,3181-7792-9942,20,667,202,9422,46.64,18,2,0.46,0.49
2026-09-24,3181-7792-9942,29,715,152,10969,72.16,6,1,0.41,0.44
2026-09-19,2602-3303-1736,6,92,73,1612,22.08,2,,0.07,0.03
2026-09-20,2602-3303-1736,6,109,90,1802,20.02,6,1,0.06,0.07
2026-09-21,2602-3303-1736,6,51,50,908,18.16,4,2,0.18,0.06
2026-09-22,2602-3303-1736,4,47,42,773,18.4,3,,0.06,0.02
2026-09-23,2602-3303-1736,6,60,56,1277,22.8,2,,0.04,0.06
2026-09-24,2602-3303-1736,4,62,57,947,16.61,2,,0.09,0.04
2026-09-19,8678-9448-5299,12,194,172,5535,32.18,12,2,0.1,0.03
2026-09-20,8678-9448-5299,11,179,144,4770,33.13,14,1,0.05,0.02
2026-09-21,8678-9448-5299,10,120,107,3511,32.81,6,1,0.09,0.03
2026-09-22,8678-9448-5299,8,124,100,3377,33.77,11,1,0.03,0.03
2026-09-23,8678-9448-5299,16,114,98,3730,38.06,9,,0.06,0.01
2026-09-24,8678-9448-5299,8,126,108,3209,29.71,9,1,0.12,0.05
2026-09-19,7430-1454-8956,110,3658,2623,51774,19.74,189,24,0.1,0.02
2026-09-20,7430-1454-8956,77,4493,3076,72154,23.46,236,32,0.1,0.02
2026-09-21,7430-1454-8956,36,1839,1366,26705,19.55,91,12,0.1,0.02
2026-09-22,7430-1454-8956,32,1458,1146,19467,16.99,46,3,0.07,0.02
2026-09-23,7430-1454-8956,46,1668,1275,27366,21.46,64,9,0.1,0.03
2026-09-24,7430-1454-8956,35,1801,1281,27690,21.62,103,9,0.11,0.04
2026-09-19,1179-7655-5217,12,144,114,4203,36.87,10,1,0.24,0.05
2026-09-20,1179-7655-5217,13,154,118,5075,43.01,17,3,0.22,0.07
2026-09-21,1179-7655-5217,11,136,108,4926,45.61,11,5,0.12,0.08
2026-09-22,1179-7655-5217,11,141,106,5170,48.77,9,3,0.14,0.06
2026-09-23,1179-7655-5217,12,120,81,3966,48.96,10,,0.21,0.04
2026-09-24,1179-7655-5217,7,41,25,1090,43.6,1,,0.24,0.04
2026-09-19,8820-8447-9382,13,312,276,4865,17.63,22,5,0.13,0
2026-09-20,8820-8447-9382,10,254,215,3793,17.64,14,,0.06,0.03
2026-09-21,8820-8447-9382,7,148,135,2509,18.59,7,2,0.07,0.03
2026-09-22,8820-8447-9382,11,159,147,3526,23.99,10,2,0.04,0.01
2026-09-23,8820-8447-9382,9,138,122,2758,22.61,13,,0.11,0
2026-09-24,8820-8447-9382,11,174,168,3109,18.51,8,,0.06,0
2026-09-19,7155-7218-9044,39,421,376,6118,16.27,17,4,0.05,0.01
2026-09-20,7155-7218-9044,35,488,434,6439,14.84,12,3,0.01,0
2026-09-21,7155-7218-9044,18,329,292,3675,12.59,13,1,0.03,0.01
2026-09-22,7155-7218-9044,15,304,268,3305,12.33,11,1,0.02,0.01
2026-09-23,7155-7218-9044,42,708,665,9998,15.03,27,5,0.03,0.01
2026-09-24,7155-7218-9044,39,468,440,6531,14.84,13,,0.04,0
2026-09-19,1301-9879-0360,12,227,187,5001,26.74,5,1,0.15,0.03
2026-09-20,1301-9879-0360,17,254,212,5432,25.62,14,4,0.16,0.09
2026-09-21,1301-9879-0360,19,170,154,3944,25.61,8,,0.14,0.07
2026-09-22,1301-9879-0360,9,105,91,2887,31.73,4,1,0.12,0.09
2026-09-23,1301-9879-0360,9,110,91,2901,31.88,3,1,0.13,0.07
2026-09-24,1301-9879-0360,7,123,104,2737,26.32,6,,0.2,0.07
2026-09-19,0914-6913-3955,10,123,109,3297,30.25,9,2,0.25,0.07
2026-09-20,0914-6913-3955,7,112,87,2291,26.33,5,1,0.13,0.04
2026-09-21,0914-6913-3955,5,60,54,1193,22.09,5,,0.1,0.04
2026-09-22,0914-6913-3955,5,57,46,1097,23.85,,1,0.1,0
2026-09-23,0914-6913-3955,5,56,53,940,17.74,4,,0.05,0.02
2026-09-24,0914-6913-3955,5,36,31,761,24.55,3,,0.17,0
2026-09-19,7068-0682-2076,16,314,226,6697,29.63,30,,0.1,0.02
2026-09-20,7068-0682-2076,15,291,223,7034,31.54,32,2,0.1,0.01
2026-09-21,7068-0682-2076,10,147,121,3985,32.93,19,1,0.16,0.02
2026-09-22,7068-0682-2076,9,164,130,4119,31.68,15,1,0.07,0.02
2026-09-23,7068-0682-2076,13,216,169,4357,25.78,21,1,0.11,0.02
2026-09-24,7068-0682-2076,12,173,145,4086,28.18,24,1,0.1,0.03
2026-09-19,8770-4031-8182,8,80,61,2134,34.98,4,,0.38,0
2026-09-20,8770-4031-8182,5,51,38,1304,34.32,5,,0.29,0.05
2026-09-21,8770-4031-8182,5,35,28,1330,47.5,2,,0.06,0.02
2026-09-22,8770-4031-8182,7,28,25,1402,56.08,3,,0.17,0.05
2026-09-23,8770-4031-8182,7,31,29,1207,41.62,,,0.26,0.1
2026-09-24,8770-4031-8182,5,51,44,1552,35.27,5,,0.25,0
2026-09-19,4983-6823-8328,7,88,61,1673,27.43,8,2,0.15,0.03
2026-09-20,4983-6823-8328,6,64,49,1138,23.22,4,,0.06,0.04
2026-09-21,4983-6823-8328,5,64,48,1350,28.13,7,,0.17,0.03
2026-09-22,4983-6823-8328,4,51,41,1287,31.39,1,2,0.08,0.05
2026-09-23,4983-6823-8328,4,49,36,917,25.47,2,,0.15,0
2026-09-24,4983-6823-8328,4,53,32,1202,37.56,4,,0.28,0.06
2026-09-19,2228-7588-2382,33,574,392,17594,44.88,19,7,0.17,0.07
2026-09-20,2228-7588-2382,33,691,460,20548,44.67,18,8,0.18,0.07
2026-09-21,2228-7588-2382,28,389,296,13655,46.13,16,3,0.21,0.07
2026-09-22,2228-7588-2382,22,406,271,11884,43.85,11,2,0.15,0.06
2026-09-23,2228-7588-2382,19,285,226,8031,35.54,12,1,0.19,0.07
2026-09-24,2228-7588-2382,17,249,193,6798,35.22,5,2,0.2,0.07
2026-09-19,8754-2719-3294,32,948,760,23750,31.25,78,8,0.19,0.01
2026-09-20,8754-2719-3294,31,915,752,22925,30.49,80,17,0.14,0.04
2026-09-21,8754-2719-3294,23,551,463,12102,26.14,70,6,0.12,0.03
2026-09-22,8754-2719-3294,20,479,405,11850,29.26,44,3,0.08,0.01
2026-09-23,8754-2719-3294,17,465,384,10056,26.19,48,9,0.1,0.03
2026-09-24,8754-2719-3294,16,355,311,8164,26.25,35,3,0.13,0.02
2026-09-19,6097-5042-2996,22,502,385,12182,31.64,8,2,0.16,0.02
2026-09-20,6097-5042-2996,372,1220,988,30143,30.51,35,5,0.16,0.06
2026-09-21,6097-5042-2996,20,304,260,7771,29.89,12,,0.18,0.04
2026-09-22,6097-5042-2996,14,222,192,5222,27.2,4,1,0.1,0.03
2026-09-23,6097-5042-2996,16,257,214,5694,26.61,7,1,0.17,0.01
2026-09-24,6097-5042-2996,11,189,159,4574,28.77,3,1,0.23,0.02
2026-09-19,0016-4027-1527,134,4662,3743,101858,27.21,78,17,0.16,0.04
2026-09-20,0016-4027-1527,148,4846,3753,110266,29.38,103,21,0.17,0.05
2026-09-21,0016-4027-1527,111,2874,2378,58800,24.73,63,12,0.15,0.05
2026-09-22,0016-4027-1527,96,2336,2017,46371,22.99,65,8,0.1,0.04
2026-09-23,0016-4027-1527,91,2228,1919,44163,23.01,47,15,0.14,0.04
2026-09-24,0016-4027-1527,93,1894,1605,37702,23.49,51,15,0.13,0.03
2026-09-19,8369-6631-9681,34,887,686,23846,34.76,18,2,0.28,0.13
2026-09-20,8369-6631-9681,50,949,709,25135,35.45,17,4,0.27,0.1
2026-09-21,8369-6631-9681,26,441,330,11205,33.95,7,2,0.23,0.11
2026-09-22,8369-6631-9681,16,374,306,9431,30.82,7,5,0.16,0.08
2026-09-23,8369-6631-9681,24,396,307,9906,32.27,10,,0.21,0.11
2026-09-24,8369-6631-9681,27,436,350,12543,35.84,12,,0.21,0.09
2026-09-19,4792-9643-5878,60,1589,1339,41987,31.36,64,20,0.19,0.03
2026-09-20,4792-9643-5878,58,1571,1331,42173,31.69,51,19,0.2,0.04
2026-09-21,4792-9643-5878,45,874,757,23750,31.37,31,10,0.15,0.04
2026-09-22,4792-9643-5878,45,1083,920,29342,31.89,40,16,0.09,0.03
2026-09-23,4792-9643-5878,48,997,885,26830,30.32,38,13,0.16,0.03
2026-09-24,4792-9643-5878,46,854,744,23146,31.11,33,5,0.17,0.04
2026-09-19,4815-5387-2781,336,12785,10191,282380,27.71,245,54,0.15,0.05
2026-09-20,4815-5387-2781,384,14194,10976,315837,28.78,254,73,0.17,0.05
2026-09-21,4815-5387-2781,235,8412,6744,174303,25.85,156,45,0.15,0.05
2026-09-22,4815-5387-2781,218,7305,5913,156587,26.48,148,30,0.11,0.05
2026-09-23,4815-5387-2781,220,7181,5823,149885,25.74,148,28,0.14,0.04
2026-09-24,4815-5387-2781,212,6367,5123,138034,26.94,126,20,0.15,0.05
2026-09-19,7065-7612-2307,47,1322,1055,31664,30.01,36,15,0.16,0.04
2026-09-20,7065-7612-2307,57,1310,1066,33369,31.3,27,5,0.2,0.04
2026-09-21,7065-7612-2307,39,877,730,20375,27.91,21,5,0.16,0.04
2026-09-22,7065-7612-2307,43,813,667,18708,28.05,19,2,0.1,0.04
2026-09-23,7065-7612-2307,35,727,628,17384,27.68,17,9,0.15,0.02
2026-09-24,7065-7612-2307,35,624,538,14091,26.19,25,3,0.15,0.04
2026-09-19,8980-4396-1703,75,1932,1524,50032,32.83,41,12,0.2,0.06
2026-09-20,8980-4396-1703,91,2253,1700,54108,31.83,48,6,0.24,0.09
2026-09-21,8980-4396-1703,55,1251,961,28601,29.76,20,3,0.22,0.08
2026-09-22,8980-4396-1703,95,1494,1207,32580,26.99,40,5,0.15,0.07
2026-09-23,8980-4396-1703,108,2279,1783,52610,29.51,42,11,0.2,0.09
2026-09-24,8980-4396-1703,75,1924,1480,42118,28.46,34,10,0.23,0.09
2026-09-19,0961-8141-8252,35,1153,856,26375,30.81,24,12,0.22,0.15
2026-09-20,0961-8141-8252,78,1223,919,30981,33.71,26,7,0.26,0.17
2026-09-21,0961-8141-8252,28,667,539,15978,29.64,14,5,0.25,0.15
2026-09-22,0961-8141-8252,69,707,579,16962,29.3,19,8,0.17,0.11
2026-09-23,0961-8141-8252,22,558,433,13224,30.54,8,3,0.23,0.08
2026-09-24,0961-8141-8252,50,538,407,11788,28.96,14,6,0.22,0.1
2026-09-19,0303-4919-9451,374,5381,4395,128602,29.26,141,57,0.2,0.06
2026-09-20,0303-4919-9451,104,3565,2850,89949,31.56,81,31,0.22,0.05
2026-09-21,0303-4919-9451,64,1755,1492,42988,28.81,29,17,0.16,0.05
2026-09-22,0303-4919-9451,278,3340,2812,76236,27.11,87,25,0.13,0.05
2026-09-23,0303-4919-9451,101,2467,2050,60600,29.56,50,20,0.2,0.05
2026-09-24,0303-4919-9451,63,1724,1446,42726,29.55,29,7,0.14,0.06
2026-09-19,1577-7257-3234,33,518,186,9724,52.28,8,2,0.34,0.2
2026-09-20,1577-7257-3234,27,275,141,7524,53.36,6,1,0.25,0.16
2026-09-21,1577-7257-3234,32,433,300,8663,28.88,34,,0.3,0.11
2026-09-22,1577-7257-3234,27,332,215,7602,35.36,24,,0.35,0.16
2026-09-23,1577-7257-3234,21,177,128,2315,18.09,20,2,0.21,0.25
2026-09-24,1577-7257-3234,10,188,133,1704,12.81,16,,0.14,0.09
2026-09-19,4471-6847-2060,22,592,529,11467,21.68,20,3,0.13,0.02
2026-09-20,4471-6847-2060,25,465,400,9365,23.41,15,2,0.11,0.03
2026-09-21,4471-6847-2060,30,542,480,10932,22.77,22,2,0.11,0.02
2026-09-22,4471-6847-2060,31,634,589,10772,18.29,17,5,0.09,0.09
2026-09-23,4471-6847-2060,131,996,937,17531,18.71,60,4,0.19,0.11
2026-09-24,4471-6847-2060,21,435,401,7678,19.15,12,2,0.11,0.06
2026-09-19,5393-6523-5769,32,836,670,22264,33.23,76,4,0.13,0.01
2026-09-20,5393-6523-5769,50,964,754,26110,34.63,65,5,0.13,0.02
2026-09-21,5393-6523-5769,32,860,668,24398,36.52,48,2,0.12,0.02
2026-09-22,5393-6523-5769,40,764,607,24973,41.14,62,4,0.11,0.01
2026-09-23,5393-6523-5769,30,732,565,23780,42.09,56,6,0.14,0.01
2026-09-24,5393-6523-5769,23,519,390,16463,42.21,36,4,0.19,0.02
2026-09-19,2081-7136-6647,64,1838,1565,39276,25.1,53,14,0.12,0.02
2026-09-20,2081-7136-6647,36,866,727,18291,25.16,18,3,0.13,0.04
2026-09-21,2081-7136-6647,167,1614,1419,31565,22.24,80,12,0.11,0.03
2026-09-22,2081-7136-6647,56,1561,1424,30179,21.19,44,7,0.08,0.03
2026-09-23,2081-7136-6647,48,1177,1063,23387,22,42,5,0.09,0.02
2026-09-24,2081-7136-6647,34,637,568,12142,21.38,16,4,0.11,0.02
2026-09-19,6585-5402-3767,49,1433,1216,35243,28.98,93,11,0.18,0.03
2026-09-20,6585-5402-3767,52,1199,990,29111,29.41,60,11,0.17,0.06
2026-09-21,6585-5402-3767,34,592,513,14017,27.32,38,5,0.14,0.06
2026-09-22,6585-5402-3767,93,991,809,20089,24.83,63,2,0.09,0.03
2026-09-23,6585-5402-3767,43,966,710,16598,23.38,59,4,0.18,0.06
2026-09-24,6585-5402-3767,36,715,522,10478,20.07,33,4,0.15,0.06
2026-09-19,8267-8586-5910,87,2583,2225,62861,28.25,87,18,0.14,0.01
2026-09-20,8267-8586-5910,95,2803,2410,71099,29.5,57,17,0.14,0.03
2026-09-21,8267-8586-5910,63,1729,1582,40027,25.3,33,15,0.12,0.04
2026-09-22,8267-8586-5910,64,1621,1459,34343,23.54,43,14,0.08,0.03
2026-09-23,8267-8586-5910,54,1699,1495,36983,24.74,60,23,0.1,0.04
2026-09-24,8267-8586-5910,73,1603,1437,37145,25.85,31,16,0.11,0.03
2026-09-19,4040-1657-7028,29,319,264,9080,34.39,20,6,0.23,0
2026-09-20,4040-1657-7028,24,389,316,9939,31.45,24,5,0.25,0.02
2026-09-21,4040-1657-7028,14,186,155,4707,30.37,14,4,0.19,0.04
2026-09-22,4040-1657-7028,18,204,177,4682,26.45,18,3,0.12,0.02
